asset_id,longitude,latitude,taxonomy,num_buildings,built_up_area,structural_replacement_cost,structural_retrofit_cost,structural_insurance_limit,structural_insurance_deductible,nonstructural_replacement_cost,nonstructural_retrofit_cost,nonstructural_insurance_limit,nonstructural_insurance_deductible,contents_replacement_cost,contents_retrofit_cost,contents_insurance_limit,contents_insurance_deductible,downtime_cost,downtime_insurance_limit,downtime_insurance_deductible,day_occupants,night_occupants,transit_occupants
41,35.795031019583028,32.302751776614315,JOR-MURsimplestone-2-T-F-F-F-T,449,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,6
42,35.795031019583028,32.302751776614315,JOR-MURsimplestone-3-T-F-F-F-T,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,9
43,35.795031019583028,32.302751776614315,JOR-MURsimplestone-4-T-F-F-F-T,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,20,12
44,35.795031019583028,32.302751776614315,JOR-MURsimplestone-5-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,25,15
45,35.795031019583028,32.302751776614315,JOR-MURsimplestone-6-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,30,18
46,35.795031019583028,32.302751776614315,JOR-MURsimplestone-7-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,35,21
47,35.795031019583028,32.302751776614315,JOR-MURsimplestone-8-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,40,24
48,35.795031019583028,32.302751776614315,JOR-MURsimplestone-9-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,45,27
49,35.795031019583028,32.302751776614315,JOR-MURsimplestone-10-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,50,30
50,35.795031019583028,32.302751776614315,JOR-MURsimplestone-1-F-F-F-F-T,391,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3
51,35.795031019583028,32.302751776614315,JOR-MURsimplestone-2-F-F-F-F-T,299,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,6
52,35.795031019583028,32.302751776614315,JOR-MURsimplestone-3-F-F-F-F-T,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,9
53,35.795031019583028,32.302751776614315,JOR-MURsimplestone-4-F-F-F-F-T,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,20,12
54,35.795031019583028,32.302751776614315,JOR-MURsimplestone-5-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,25,15
