Adm0,Adm1,Adm2,ConstructionMaterial,NrBuildings,1,2,3,4,5,6,unknown_floor_nr,-1948,1948-1967,1968-1977,1978-1987,1988-1997,1998-2008,unknown_year
PSE,Westbank,Salfit,Unknown,54,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0451950063,0.1490370657,0.1198103165,0.1337462499,0.2548146714,0.2471692635,0.0502274267
PSE,Westbank,Salfit,Other,169,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0451950063,0.1490370657,0.1198103165,0.1337462499,0.2548146714,0.2471692635,0.0502274267
PSE,Westbank,Salfit,Old Stone,955,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0451950063,0.1490370657,0.1198103165,0.1337462499,0.2548146714,0.2471692635,0.0502274267
PSE,Westbank,Salfit,Adobe Clay,17,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0451950063,0.1490370657,0.1198103165,0.1337462499,0.2548146714,0.2471692635,0.0502274267
PSE,Westbank,Salfit,Cement Block,6214,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0451950063,0.1490370657,0.1198103165,0.1337462499,0.2548146714,0.2471692635,0.0502274267
PSE,Westbank,Salfit,Concrete,718,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0451950063,0.1490370657,0.1198103165,0.1337462499,0.2548146714,0.2471692635,0.0502274267
PSE,Westbank,Salfit,Stone and Concrete,1559,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0451950063,0.1490370657,0.1198103165,0.1337462499,0.2548146714,0.2471692635,0.0502274267
PSE,Westbank,Salfit,Cleaned Stone,691,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0451950063,0.1490370657,0.1198103165,0.1337462499,0.2548146714,0.2471692635,0.0502274267
PSE,Westbank,Ramallah and Al-Bireh,Unknown,318,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0539790505,0.1382669025,0.1104611617,0.1723302952,0.2165419671,0.2303632159,0.0780574072
PSE,Westbank,Ramallah and Al-Bireh,Other,770,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0539790505,0.1382669025,0.1104611617,0.1723302952,0.2165419671,0.2303632159,0.0780574072
PSE,Westbank,Ramallah and Al-Bireh,Old Stone,4587,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0539790505,0.1382669025,0.1104611617,0.1723302952,0.2165419671,0.2303632159,0.0780574072
PSE,Westbank,Ramallah and Al-Bireh,Adobe Clay,24,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0539790505,0.1382669025,0.1104611617,0.1723302952,0.2165419671,0.2303632159,0.0780574072
PSE,Westbank,Ramallah and Al-Bireh,Cement Block,9069,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0539790505,0.1382669025,0.1104611617,0.1723302952,0.2165419671,0.2303632159,0.0780574072
PSE,Westbank,Ramallah and Al-Bireh,Concrete,5394,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0539790505,0.1382669025,0.1104611617,0.1723302952,0.2165419671,0.2303632159,0.0780574072
PSE,Westbank,Ramallah and Al-Bireh,Stone and Concrete,4546,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0539790505,0.1382669025,0.1104611617,0.1723302952,0.2165419671,0.2303632159,0.0780574072
PSE,Westbank,Ramallah and Al-Bireh,Cleaned Stone,12498,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0539790505,0.1382669025,0.1104611617,0.1723302952,0.2165419671,0.2303632159,0.0780574072
PSE,Westbank,Jericho,Unknown,171,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0338070307,0.1465968586,0.0553477936,0.1027673897,0.2163051608,0.2788332087,0.166342558
PSE,Westbank,Jericho,Other,785,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0338070307,0.1465968586,0.0553477936,0.1027673897,0.2163051608,0.2788332087,0.166342558
PSE,Westbank,Jericho,Old Stone,148,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0338070307,0.1465968586,0.0553477936,0.1027673897,0.2163051608,0.2788332087,0.166342558
PSE,Westbank,Jericho,Adobe Clay,541,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0338070307,0.1465968586,0.0553477936,0.1027673897,0.2163051608,0.2788332087,0.166342558
PSE,Westbank,Jericho,Cement Block,4677,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0338070307,0.1465968586,0.0553477936,0.1027673897,0.2163051608,0.2788332087,0.166342558
PSE,Westbank,Jericho,Concrete,179,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0338070307,0.1465968586,0.0553477936,0.1027673897,0.2163051608,0.2788332087,0.166342558
PSE,Westbank,Jericho,Stone and Concrete,264,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0338070307,0.1465968586,0.0553477936,0.1027673897,0.2163051608,0.2788332087,0.166342558
PSE,Westbank,Jericho,Cleaned Stone,594,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0338070307,0.1465968586,0.0553477936,0.1027673897,0.2163051608,0.2788332087,0.166342558
